A, B, ALU OP, Shift Amount, Result, isNE, isLT, OVF
          0,          0, 5, 1,          0,0,0,0
          1,          0, 5,16,          0,1,0,0
          8,          0, 5, 2,          2,1,0,0
         18,          0, 5, 4,          1,1,0,0
        821,          0, 5, 8,          3,1,0,0
    6233333,          0, 5,16,         95,1,0,0
       5555,          0, 5, 2,       1388,1,0,0
-2147483648,          0, 5, 1,-1073741824,1,1,0
       1234,          0, 5, 8,          4,1,0,0
      18888,          0, 5, 7,        147,1,0,0
   99999999,          0, 5,19,        190,1,0,0
        999,          0, 5, 5,         31,1,0,0
 2121221123,          0, 5,21,       1011,1,0,0
         20,          0, 5, 2,          5,1,0,0
-2147483648,          0, 5,31,         -1,1,1,0
        777,          0, 5, 8,          3,1,0,0
         -2,          0, 5, 5,         -1,1,1,0
