OperandA, OperandB, Ctrl_Mult, Ctrl_Div, Result, Exception
          2,          2,0,0,          0,0
          2,          2,0,0,          0,0
          4,          4,0,0,          0,0
          4,          4,0,0,          0,0
        888,         11,0,0,         40,0
        888,         11,0,0,         40,0
        999,          0,0,0,          0,1
        999,          0,0,0,          0,1
          3,          3,0,0,-2147483648,0
          3,          3,0,0,-2147483648,0
         19,         19,0,0,-2147483648,0
         19,         19,0,0,-2147483648,0
         57,         -2,0,0, 2147483634,0
         57,         -2,0,0, 2147483634,0
