WriteEnable,Reset,WriteReg,WriteData,ReadRegA,ReadRegB,ExpReadDataA,ExpReadDataB
1,0,0,1,0,0,0,0
1,0,1,2,1,1,2,2
1,0,2,4,2,2,4,4
1,0,3,8,3,3,8,8
1,0,4,16,4,4,16,16
1,0,5,32,5,5,32,32
1,0,6,64,6,6,64,64
1,0,7,128,7,7,128,128
1,0,8,256,8,8,256,256
1,0,9,512,9,9,512,512
1,0,10,1024,10,10,1024,1024
1,0,11,2048,11,11,2048,2048
1,0,12,4096,12,12,4096,4096
1,0,13,8192,13,13,8192,8192
1,0,14,16384,14,14,16384,16384
1,0,15,32768,15,15,32768,32768
1,0,16,65536,16,16,65536,65536
1,0,17,131072,17,17,131072,131072
1,0,18,262144,18,18,262144,262144
1,0,19,524288,19,19,524288,524288
1,0,20,1048576,20,20,1048576,1048576
1,0,21,2097152,21,21,2097152,2097152
1,0,22,4194304,22,22,4194304,4194304
1,0,23,8388608,23,23,8388608,8388608
1,0,24,16777216,24,24,16777216,16777216
1,0,25,33554432,25,25,33554432,33554432
1,0,26,67108864,26,26,67108864,67108864
1,0,27,134217728,27,27,134217728,134217728
1,0,28,268435456,28,28,268435456,268435456
1,0,29,536870912,29,29,536870912,536870912
1,0,30,1073741824,30,30,1073741824,1073741824
1,0,31,2147483648,31,31,2147483648,2147483648
0,0,0,-1,0,16,0,65536
0,0,17,-1,1,17,2,131072
0,0,18,-1,2,18,4,262144
0,0,19,-1,3,19,8,524288
0,0,20,-1,4,20,16,1048576
0,0,21,-1,5,21,32,2097152
0,0,6,-1,6,22,64,4194304
0,0,7,-1,7,23,128,8388608
0,0,24,-1,8,24,256,16777216
0,0,25,-1,9,25,512,33554432
0,0,10,-1,10,26,1024,67108864
0,0,27,-1,11,27,2048,134217728
0,0,12,-1,12,28,4096,268435456
0,0,13,-1,13,29,8192,536870912
0,0,14,-1,14,30,16384,1073741824
0,0,31,-1,15,31,32768,2147483648
0,1,16,-1,0,16,0,0
0,0,1,-1,1,17,0,0
0,0,18,-1,2,18,0,0
0,0,19,-1,3,19,0,0
0,0,4,-1,4,20,0,0
0,0,5,-1,5,21,0,0
0,0,6,-1,6,22,0,0
0,0,7,-1,7,23,0,0
0,0,8,-1,8,24,0,0
0,0,9,-1,9,25,0,0
0,0,10,-1,10,26,0,0
0,0,27,-1,11,27,0,0
0,0,12,-1,12,28,0,0
0,0,29,-1,13,29,0,0
0,0,14,-1,14,30,0,0
0,0,15,-1,15,31,0,0
