OperandA, OperandB, Ctrl_Mult, Ctrl_Div, Result, Exception
-1464188601,  982579571,0,0,-1021746715,1
 1422171617,-1140464241,0,0,-1938590289,1
  622878388, -412073601,0,0, 2111483724,1
-1521574360,-1263364733,0,0, 1897412216,1
   12199431, 1904613091,0,0,-1560391115,1
 -608154417,-1696021461,0,0, 1169384133,1
 2044852807,  623416478,0,0, 1010926546,1
 1110974756,  401719530,0,0,  252529384,1
-1898734699,  636053505,0,0,-1448795243,1
 1721424543, -819687399,0,0, 1869924743,1
-1345753886,-1432801839,0,0,  312974978,1
  -21559954, -188059883,0,0, 1630151686,1
-1592930649,-1381356734,0,0, -315927538,1
 -529815927,-2080049284,0,0, -805906084,1
  666421859, -691910376,0,0,-1945160632,1
 1411259397,  -96771922,0,0, -836768922,1
-1993624233,  899045346,0,0,  925935566,1
  -95706301, 1053699375,0,0, -645939123,1
  639056654,-1131931414,0,0,-1506456884,1
-2045844378, -292882247,0,0, 1090641334,1
-1175463711,  837437514,0,0,-2097284854,1
 -662551234,-1410692764,0,0,  -23250376,1
 -684960276, 1601553109,0,0, 2044482908,1
-1339838142,-2025554322,0,0,  605857372,1
 2137465628, -152432394,0,0, -555385624,1
-1887698453, -121505951,0,0,  503412491,1
  905060920, 1411840312,0,0, -997198784,1
-1942591938, 1314124248,0,0,-1908366768,1
 1258390375, 1141764610,0,0,  209020110,1
  -57101120, 1837893307,0,0,-1329035200,1
  229940764,-1269110570,0,0, 1780321128,1
 1462960061, -943155541,0,0, -678325953,1
  968070561,  949931168,0,0,-1126707040,1
 -287813188,-1442852308,0,0,  108938320,1
-1595448973,   35792203,0,0, 1814375345,1
 -210671552, 2080953376,0,0,-1702754304,1
 1801036448, 1383048457,0,0, 1331156896,1
  900761533, -456890948,0,0, 1407533004,1
 1708398240, 2115000867,0,0,-1510778912,1
-2029822152, -340945722,0,0,  545260880,1
-1090456127,-1419486946,0,0,-1578048098,1
  765813047,  -76325253,0,0, 1088218989,1
 1737950544,-1218504484,0,0, 1459097792,1
  731010078, 1077415971,0,0,   13852698,1
 -260693937, -722153119,0,0, -999375633,1
  731051059,-1653349681,0,0, -246318275,1
  849425099, -621662193,0,0,  316541413,1
   39382856,-1562701948,0,0,-1367828192,1
-1539155163,-1784295155,0,0, -878651935,1
 1674550316, 1901197600,0,0, 1053184384,1
 1324141723, -633526289,0,0,-2127715915,1
  510775166,-1323904125,0,0, 1427507066,1
-1992067738,  474510093,0,0, 1926875182,1
  931802797,  161873357,0,0,  877222281,1
  136087930,  868566268,0,0,-1451377640,1
-2030242989,  906625971,0,0, 1559632905,1
 -780117356,  383261416,0,0,  174399008,1
-2022917697, 1986776305,0,0, -835448625,1
  -72680473, -812565659,0,0,  693804835,1
-1516958401, 1582325184,0,0,-1689660864,1
 1321138949, -322410148,0,0, 1501512396,1
 1128206984,  273797703,0,0,-1061571656,1
 1445222352, -941547070,0,0, -726901856,1
  887763959, -966267609,0,0, -735406687,1
-2051490878, -731945520,0,0, -584444000,1
 -984759894, -328059348,0,0, 1173038392,1
-2141094425, -491037211,0,0,  665815715,1
 1913764988,-1088586870,0,0, -517263656,1
-1208688832, 2093199702,0,0,  677265280,1
  492541379, 1452079691,0,0, 1924746785,1
 -803892366,-1572604657,0,0,-1841971794,1
 -654168212,  -23980952,0,0,-2010139680,1
-2028574841,-2128077994,0,0, -225835942,1
 -790158175,-1571712416,0,0,-1568502176,1
  105009960, -456483082,0,0,  815700080,1
 1293720478, 1407883051,0,0, 1275352458,1
-1730571650,  417704440,0,0,-1892607984,1
 2028711512,-1348788355,0,0, 1282984184,1
  730298282,-1213304143,0,0, 1199534218,1
-1838091752,-2097596719,0,0,  178173336,1
  -21676435,-1092586774,0,0,  215456162,1
 1120629657,-1467101688,0,0, -526009656,1
  369004964,  779008102,0,0, -929831080,1
 -825336519,  182906348,0,0,-1379814004,1
  166330524,  496228664,0,0,-1958191584,1
-1160915115,  843816765,0,0,  196155969,1
 -425566420, -646133687,0,0,   66552716,1
  775384382, 1931075588,0,0,-1115556616,1
-1425652726, -372030278,0,0,  450762564,1
-1154180417,-1564767065,0,0, -881432935,1
  620903550, -393411066,0,0, 1826512628,1
  850947216, -510526229,0,0,  666462256,1
 1578705674, -251865967,0,0,  -82239318,1
 -860040964,-1765978663,0,0, 1224012188,1
-1463749520,-1680576318,0,0,-1981137696,1
 2006537745,  656399747,0,0,-1781352525,1
-1497000580, 1172817081,0,0,  438302364,1
-1207293977, -577002716,0,0, -323833476,1
-1291391190, -409896423,0,0,  644964122,1
 1872812507,  562541754,0,0, 1367950622,1
