OperandA, OperandB, Ctrl_Mult, Ctrl_Div, Result, Exception
          1,          0,0,0,          0,0
          0,          1,0,0,          0,0
          1,          2,0,0,          2,0
          2,         -4,0,0,         -8,0
          4,          8,0,0,         32,0
         -8,         16,0,0,       -128,0
         16,         32,0,0,        512,0
         32,        -64,0,0,      -2048,0
         64,        128,0,0,       8192,0
       -128,        256,0,0,     -32768,0
        256,        512,0,0,     131072,0
        512,      -1024,0,0,    -524288,0
       1024,       2048,0,0,    2097152,0
      -2048,       4096,0,0,   -8388608,0
       4096,       8192,0,0,   33554432,0
       8192,     -16384,0,0, -134217728,0
      16384,      32768,0,0,  536870912,0
     -32768,      65536,0,0,-2147483648,0
      65536,     131072,0,0,          0,1
-2147483648,          2,0,0,          0,1
